@RELATION RapidMinerData

@ATTRIBUTE 'Date' DATE "yyyy.MM.dd HH:mm:ss Z"
@ATTRIBUTE 'HomeTeam' {'Aston Villa','Blackburn','Bolton','Chelsea','Everton','Portsmouth','Stoke','Wolves','Man United','Tottenham','Sunderland','Wigan','Birmingham','Burnley','Hull','Liverpool','Arsenal','Man City','Fulham','West Ham','Norwich','Swansea','West Brom','Crystal Palace','Newcastle','Southampton','Cardiff','QPR','Reading','Blackpool','Derby','Middlesbrough','Sheffield United','Watford','Charlton'}
@ATTRIBUTE 'AwayTeam' {'Wigan','Man City','Sunderland','Hull','Arsenal','Fulham','Burnley','West Ham','Birmingham','Liverpool','Chelsea','Wolves','Portsmouth','Man United','Tottenham','Stoke','Bolton','Blackburn','Everton','Aston Villa','Southampton','Cardiff','Newcastle','West Brom','Norwich','Crystal Palace','Swansea','Reading','QPR','Blackpool','Derby','Middlesbrough','Watford','Charlton','Sheffield United'}
@ATTRIBUTE 'FTHG' real
@ATTRIBUTE 'FTAG' real
@ATTRIBUTE 'FTR' {'A','H','D'}

@DATA
"2005.10.02 00:00:00 +0200",'Man City','Everton',2.0,0.0,'H'
"2005.10.02 00:00:00 +0200",'Wigan','Bolton',2.0,1.0,'H'
"2005.10.15 00:00:00 +0200",'Chelsea','Bolton',5.0,1.0,'H'
"2005.10.15 00:00:00 +0200",'Liverpool','Blackburn',1.0,0.0,'H'
"2005.10.15 00:00:00 +0200",'Middlesbrough','Portsmouth',1.0,1.0,'D'
"2005.10.15 00:00:00 +0200",'Sunderland','Man United',1.0,3.0,'A'
"2005.10.15 00:00:00 +0200",'Tottenham','Everton',2.0,0.0,'H'
"2005.10.15 00:00:00 +0200",'West Brom','Arsenal',2.0,1.0,'H'
"2005.10.15 00:00:00 +0200",'Wigan','Newcastle',1.0,0.0,'H'
"2005.10.16 00:00:00 +0200",'Birmingham','Aston Villa',0.0,1.0,'A'
"2005.10.16 00:00:00 +0200",'Man City','West Ham',2.0,1.0,'H'
"2005.10.17 00:00:00 +0200",'Charlton','Fulham',1.0,1.0,'D'
"2005.10.22 00:00:00 +0200",'Arsenal','Man City',1.0,0.0,'H'
"2005.10.22 00:00:00 +0200",'Aston Villa','Wigan',0.0,2.0,'A'
"2005.10.22 00:00:00 +0200",'Blackburn','Birmingham',2.0,0.0,'H'
"2005.10.22 00:00:00 +0200",'Fulham','Liverpool',2.0,0.0,'H'
"2005.10.22 00:00:00 +0200",'Man United','Tottenham',1.0,1.0,'D'
"2005.10.22 00:00:00 +0200",'Portsmouth','Charlton',1.0,2.0,'A'
"2005.10.23 00:00:00 +0200",'Bolton','West Brom',2.0,0.0,'H'
"2005.10.23 00:00:00 +0200",'Everton','Chelsea',1.0,1.0,'D'
"2005.10.23 00:00:00 +0200",'Newcastle','Sunderland',3.0,2.0,'H'
"2005.10.23 00:00:00 +0200",'West Ham','Middlesbrough',2.0,1.0,'H'
"2005.10.29 00:00:00 +0200",'Birmingham','Everton',0.0,1.0,'A'
"2005.10.29 00:00:00 +0200",'Charlton','Bolton',0.0,1.0,'A'
"2005.10.29 00:00:00 +0200",'Chelsea','Blackburn',4.0,2.0,'H'
"2005.10.29 00:00:00 +0200",'Liverpool','West Ham',2.0,0.0,'H'
"2005.10.29 00:00:00 +0200",'Middlesbrough','Man United',4.0,1.0,'H'
"2005.10.29 00:00:00 +0200",'Sunderland','Portsmouth',1.0,4.0,'A'
"2005.10.29 00:00:00 +0200",'Tottenham','Arsenal',1.0,1.0,'D'
"2005.10.29 00:00:00 +0200",'Wigan','Fulham',1.0,0.0,'H'
"2005.10.30 00:00:00 +0200",'West Brom','Newcastle',0.0,3.0,'A'
"2005.10.31 00:00:00 +0100",'Man City','Aston Villa',3.0,1.0,'H'
"2005.11.05 00:00:00 +0100",'Arsenal','Sunderland',3.0,1.0,'H'
"2005.11.05 00:00:00 +0100",'Aston Villa','Liverpool',0.0,2.0,'A'
"2005.11.05 00:00:00 +0100",'Blackburn','Charlton',4.0,1.0,'H'
"2005.11.05 00:00:00 +0100",'Fulham','Man City',2.0,1.0,'H'
"2005.11.05 00:00:00 +0100",'Newcastle','Birmingham',1.0,0.0,'H'
"2005.11.05 00:00:00 +0100",'Portsmouth','Wigan',0.0,2.0,'A'
"2005.11.05 00:00:00 +0100",'West Ham','West Brom',1.0,0.0,'H'
"2005.11.06 00:00:00 +0100",'Everton','Middlesbrough',1.0,0.0,'H'
"2005.11.06 00:00:00 +0100",'Man United','Chelsea',1.0,0.0,'H'
"2005.11.07 00:00:00 +0100",'Bolton','Tottenham',1.0,0.0,'H'
"2005.11.19 00:00:00 +0100",'Charlton','Man United',1.0,3.0,'A'
"2005.11.19 00:00:00 +0100",'Chelsea','Newcastle',3.0,0.0,'H'
"2005.11.19 00:00:00 +0100",'Liverpool','Portsmouth',3.0,0.0,'H'
"2005.11.19 00:00:00 +0100",'Man City','Blackburn',0.0,0.0,'D'
"2005.11.19 00:00:00 +0100",'Sunderland','Aston Villa',1.0,3.0,'A'
"2005.11.19 00:00:00 +0100",'West Brom','Everton',4.0,0.0,'H'
"2005.11.19 00:00:00 +0100",'Wigan','Arsenal',2.0,3.0,'A'
"2005.11.20 00:00:00 +0100",'Middlesbrough','Fulham',3.0,2.0,'H'
"2005.11.20 00:00:00 +0100",'Tottenham','West Ham',1.0,1.0,'D'
"2005.11.26 00:00:00 +0100",'Arsenal','Blackburn',3.0,0.0,'H'
"2005.11.26 00:00:00 +0100",'Aston Villa','Charlton',1.0,0.0,'H'
"2005.11.26 00:00:00 +0100",'Man City','Liverpool',0.0,1.0,'A'
"2005.11.26 00:00:00 +0100",'Portsmouth','Chelsea',0.0,2.0,'A'
"2005.11.26 00:00:00 +0100",'Sunderland','Birmingham',0.0,1.0,'A'
"2005.11.26 00:00:00 +0100",'Wigan','Tottenham',1.0,2.0,'A'
"2005.11.27 00:00:00 +0100",'Everton','Newcastle',1.0,0.0,'H'
"2005.11.27 00:00:00 +0100",'Fulham','Bolton',2.0,1.0,'H'
"2005.11.27 00:00:00 +0100",'Middlesbrough','West Brom',2.0,2.0,'D'
"2005.11.27 00:00:00 +0100",'West Ham','Man United',1.0,2.0,'A'
"2005.11.30 00:00:00 +0100",'Sunderland','Liverpool',0.0,2.0,'A'
"2005.12.03 00:00:00 +0100",'Blackburn','Everton',0.0,2.0,'A'
"2005.12.03 00:00:00 +0100",'Bolton','Arsenal',2.0,0.0,'H'
"2005.12.03 00:00:00 +0100",'Chelsea','Middlesbrough',1.0,0.0,'H'
"2005.12.03 00:00:00 +0100",'Liverpool','Wigan',3.0,0.0,'H'
"2005.12.03 00:00:00 +0100",'Man United','Portsmouth',3.0,0.0,'H'
"2005.12.03 00:00:00 +0100",'Newcastle','Aston Villa',1.0,1.0,'D'
"2005.12.03 00:00:00 +0100",'Tottenham','Sunderland',3.0,2.0,'H'
"2005.12.03 00:00:00 +0100",'West Brom','Fulham',0.0,0.0,'D'
"2005.12.04 00:00:00 +0100",'Charlton','Man City',2.0,5.0,'A'
"2005.12.05 00:00:00 +0100",'Birmingham','West Ham',1.0,2.0,'A'
"2005.12.10 00:00:00 +0100",'Birmingham','Fulham',1.0,0.0,'H'
"2005.12.10 00:00:00 +0100",'Blackburn','West Ham',3.0,2.0,'H'
"2005.12.10 00:00:00 +0100",'Bolton','Aston Villa',1.0,1.0,'D'
"2005.12.10 00:00:00 +0100",'Charlton','Sunderland',2.0,0.0,'H'
"2005.12.10 00:00:00 +0100",'Chelsea','Wigan',1.0,0.0,'H'
"2005.12.10 00:00:00 +0100",'Liverpool','Middlesbrough',2.0,0.0,'H'
"2005.12.10 00:00:00 +0100",'Newcastle','Arsenal',1.0,0.0,'H'
"2005.12.10 00:00:00 +0100",'West Brom','Man City',2.0,0.0,'H'
"2005.12.11 00:00:00 +0100",'Man United','Everton',1.0,1.0,'D'
"2005.12.12 00:00:00 +0100",'Tottenham','Portsmouth',3.0,1.0,'H'
"2005.12.14 00:00:00 +0100",'Everton','West Ham',1.0,2.0,'A'
"2005.12.14 00:00:00 +0100",'Man United','Wigan',4.0,0.0,'H'
"2005.12.17 00:00:00 +0100",'Aston Villa','Man United',0.0,2.0,'A'
"2005.12.17 00:00:00 +0100",'Everton','Bolton',0.0,4.0,'A'
"2005.12.17 00:00:00 +0100",'Fulham','Blackburn',2.0,1.0,'H'
"2005.12.17 00:00:00 +0100",'Man City','Birmingham',4.0,1.0,'H'
"2005.12.17 00:00:00 +0100",'Portsmouth','West Brom',1.0,0.0,'H'
"2005.12.17 00:00:00 +0100",'West Ham','Newcastle',2.0,4.0,'A'
"2005.12.17 00:00:00 +0100",'Wigan','Charlton',3.0,0.0,'H'
"2005.12.18 00:00:00 +0100",'Arsenal','Chelsea',0.0,2.0,'A'
"2005.12.18 00:00:00 +0100",'Middlesbrough','Tottenham',3.0,3.0,'D'
"2005.12.26 00:00:00 +0100",'Aston Villa','Everton',4.0,0.0,'H'
"2005.12.26 00:00:00 +0100",'Charlton','Arsenal',0.0,1.0,'A'
"2005.12.26 00:00:00 +0100",'Chelsea','Fulham',3.0,2.0,'H'
"2005.12.26 00:00:00 +0100",'Liverpool','Newcastle',2.0,0.0,'H'
"2005.12.26 00:00:00 +0100",'Man United','West Brom',3.0,0.0,'H'
"2005.12.26 00:00:00 +0100",'Middlesbrough','Blackburn',0.0,2.0,'A'
"2005.12.26 00:00:00 +0100",'Portsmouth','West Ham',1.0,1.0,'D'
"2005.12.26 00:00:00 +0100",'Sunderland','Bolton',0.0,0.0,'D'
"2005.12.26 00:00:00 +0100",'Tottenham','Birmingham',2.0,0.0,'H'
"2005.12.26 00:00:00 +0100",'Wigan','Man City',4.0,3.0,'H'
"2005.12.28 00:00:00 +0100",'Arsenal','Portsmouth',4.0,0.0,'H'
"2005.12.28 00:00:00 +0100",'Birmingham','Man United',2.0,2.0,'D'
"2005.12.28 00:00:00 +0100",'Everton','Liverpool',1.0,3.0,'A'
"2005.12.28 00:00:00 +0100",'Fulham','Aston Villa',3.0,3.0,'D'
"2005.12.28 00:00:00 +0100",'Man City','Chelsea',0.0,1.0,'A'
"2005.12.28 00:00:00 +0100",'West Brom','Tottenham',2.0,0.0,'H'
"2005.12.28 00:00:00 +0100",'West Ham','Wigan',0.0,2.0,'A'
"2005.12.31 00:00:00 +0100",'Aston Villa','Arsenal',0.0,0.0,'D'
"2005.12.31 00:00:00 +0100",'Charlton','West Ham',2.0,0.0,'H'
"2005.12.31 00:00:00 +0100",'Chelsea','Birmingham',2.0,0.0,'H'
"2005.12.31 00:00:00 +0100",'Liverpool','West Brom',1.0,0.0,'H'
"2005.12.31 00:00:00 +0100",'Man United','Bolton',4.0,1.0,'H'
"2005.12.31 00:00:00 +0100",'Middlesbrough','Man City',0.0,0.0,'D'
"2005.12.31 00:00:00 +0100",'Portsmouth','Fulham',1.0,0.0,'H'
"2005.12.31 00:00:00 +0100",'Sunderland','Everton',0.0,1.0,'A'
"2005.12.31 00:00:00 +0100",'Tottenham','Newcastle',2.0,0.0,'H'
"2005.12.31 00:00:00 +0100",'Wigan','Blackburn',0.0,3.0,'A'
"2006.01.02 00:00:00 +0100",'Birmingham','Wigan',2.0,0.0,'H'
"2006.01.02 00:00:00 +0100",'Blackburn','Portsmouth',2.0,1.0,'H'
"2006.01.02 00:00:00 +0100",'Bolton','Liverpool',2.0,2.0,'D'
"2006.01.02 00:00:00 +0100",'Everton','Charlton',3.0,1.0,'H'
"2006.01.02 00:00:00 +0100",'Fulham','Sunderland',2.0,1.0,'H'
"2006.01.02 00:00:00 +0100",'Newcastle','Middlesbrough',2.0,2.0,'D'
"2006.01.02 00:00:00 +0100",'West Brom','Aston Villa',1.0,2.0,'A'
"2006.01.02 00:00:00 +0100",'West Ham','Chelsea',1.0,3.0,'A'
"2006.01.03 00:00:00 +0100",'Arsenal','Man United',0.0,0.0,'D'
"2006.01.04 00:00:00 +0100",'Man City','Tottenham',0.0,2.0,'A'
"2006.01.14 00:00:00 +0100",'Arsenal','Middlesbrough',7.0,0.0,'H'
"2006.01.14 00:00:00 +0100",'Aston Villa','West Ham',1.0,2.0,'A'
"2006.01.14 00:00:00 +0100",'Blackburn','Bolton',0.0,0.0,'D'
"2006.01.14 00:00:00 +0100",'Charlton','Birmingham',2.0,0.0,'H'
"2006.01.14 00:00:00 +0100",'Fulham','Newcastle',1.0,0.0,'H'
"2006.01.14 00:00:00 +0100",'Liverpool','Tottenham',1.0,0.0,'H'
